# 03 TM-domain mean |ΔRRCS| at each TM-TM interface for par4_human.
# Each cell is mean(|delta_rrcs|) over all contact pairs whose endpoints lie in segments (TMi, TMj). Symmetric. Cells with no contact pairs are 0.
# Generated by build_par_dossier_csvs.py on 2026-05-04.
,TM1,TM2,TM3,TM4,TM5,TM6,TM7
TM1,6.6274217559306825,4.2447806741125405,0.0,0.0,0.0,0.0,0.0
TM2,4.2447806741125405,0.0219786951216395,4.011721555649527,3.6800612488551625,0.0,0.0,3.7697680483889644
TM3,0.0,4.011721555649527,1.5743561752858144,0.0,3.191870959771654,2.7902269242127224,3.2047893712689284
TM4,0.0,3.6800612488551625,0.0,0.0,0.0,0.0,0.0
TM5,0.0,0.0,3.191870959771654,0.0,1.7481166144962343,3.415466183452324,1.1370689831929317
TM6,0.0,0.0,2.7902269242127224,0.0,3.415466183452324,0.70688609587457,1.9584565750268745
TM7,0.0,3.7697680483889644,3.2047893712689284,0.0,1.1370689831929317,1.9584565750268745,2.1980365662183385
