# 03 TM-domain mean |ΔRRCS| at each TM-TM interface for par3_human.
# Each cell is mean(|delta_rrcs|) over all contact pairs whose endpoints lie in segments (TMi, TMj). Symmetric. Cells with no contact pairs are 0.
# Generated by build_par_dossier_csvs.py on 2026-05-04.
,TM1,TM2,TM3,TM4,TM5,TM6,TM7
TM1,5.8466753604500425,0.0,0.0,0.0,0.0,0.0,3.6136193235142056
TM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM3,0.0,0.0,0.3794804998891139,2.164745528950601,1.3488576292909544,3.320292078152919,6.795081581065195
TM4,0.0,0.0,2.164745528950601,0.0,2.764586184588876,0.0,0.0
TM5,0.0,0.0,1.3488576292909544,2.764586184588876,1.5898555180810752,2.680536940639637,0.0
TM6,0.0,0.0,3.320292078152919,0.0,2.680536940639637,1.7140514678689776,2.826010795834316
TM7,3.6136193235142056,0.0,6.795081581065195,0.0,0.0,2.826010795834316,2.0492645523527155
